,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2,Source
343,1196,2,40.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434301820,ParisEst,29.9,PAP
344,1050,2,35.0,https://www.pap.fr/annonces/appartement-paris-10e-r433002354,ParisEst,30.0,PAP
345,740,1,19.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434302278,ParisEst,38.94736842105263,PAP
346,680,1,15.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434100047,ParisEst,45.33333333333334,PAP
347,750,1,18.0,https://www.pap.fr/annonces/appartement-paris-10e-r402500413,ParisEst,41.66666666666666,PAP
348,1065,1,31.0,https://www.pap.fr/annonces/appartement-paris-11e-r412001725,ParisEst,34.354838709677416,PAP
349,800,1,25.0,https://www.pap.fr/annonces/appartement-paris-11e-75011-r434500309,ParisEst,32.0,PAP
350,700,1,21.0,https://www.pap.fr/annonces/appartement-paris-11e-75011-r434401266,ParisEst,33.333333333333336,PAP
351,849,1,21.0,https://www.pap.fr/annonces/appartement-paris-11e-r421900951,ParisEst,40.42857142857143,PAP
352,750,1,14.0,https://www.pap.fr/annonces/appartement-paris-11e-r185706068,ParisEst,53.57142857142857,PAP
353,740,1,11.0,https://www.pap.fr/annonces/appartement-paris-11e-75011-r434201160,ParisEst,67.27272727272727,PAP
354,1030,1,28.0,https://www.pap.fr/annonces/appartement-paris-11e-r425301534,ParisEst,36.785714285714285,PAP
355,1120,2,29.0,https://www.pap.fr/annonces/appartement-paris-11e-75011-r430700247,ParisEst,38.620689655172406,PAP
356,1200,1,26.54,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-merri/162453813.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,45.2147701582517,seloger
357,980,1,17.19,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-gervais/163733815.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,57.009889470622454,seloger
358,1200,1,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-gervais/164019953.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,60.0,seloger
359,1150,1,35.0,"https://www.seloger.com/annonces/locations/appartement/paris-5eme-75/jardin-des-plantes/163409835.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,32.857142857142854,seloger
