,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
73,1137,2,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/163603305.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,35.53125
74,847,1,26.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/belleville-saint-maur/164492551.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,32.57692307692308
75,824,1,23.67,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/lafayette-richer/164493295.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,34.81199831009717
76,1120,2,35.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/grange-aux-belles-terrage/164497615.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,32.0
77,655,1,16.6,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/belleville-saint-maur/164548607.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,39.4578313253012
78,937,1,25.38,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/164549213.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,36.918833727344364
79,1130,2,36.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/163426275.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,31.38888888888889
80,1137,2,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/163603305.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,35.53125
81,1200,1,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/provence-opera/164077105.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,37.5
82,1122,1,27.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/trudaine-maubeuge/164134863.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,41.55555555555556
83,1200,2,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/164444005.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,40.0
84,430,1,10.11,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/164328171.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,42.532146389713155
