,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
60,1060,1,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/159250957.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,58.888888888888886
61,1050,1,23.12,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/163316517.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,45.41522491349481
62,1160,1,29.19,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/163319629.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,39.73963686193902
63,690,1,12.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/hoche-friedland/163721999.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,57.5
64,970,1,35.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/163841809.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,27.714285714285715
65,905,1,24.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/saint-thomas-d-aquin/164240609.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,37.708333333333336
66,1050,1,21.55,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164270135.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,48.72389791183294
67,1000,1,22.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/163058985.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,45.45454545454545
68,1154,2,31.25,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/163274865.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,36.928
69,580,1,15.04,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/163343297.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,38.56382978723404
70,800,1,12.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/163417267.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,66.66666666666667
