,index,Price,N_rooms,Surface_m2,Link,District,Zone,Price_per_m2
151,337,1150,1,21,https://www.pap.fr/annonces/appartement-paris-16e-75116-r434201743,16,ParisOuest,54.76190476190476
152,338,800,1,14,https://www.pap.fr/annonces/appartement-paris-16e-75116-r432801445,16,ParisOuest,57.142857142857146
153,339,997,1,21,https://www.pap.fr/annonces/appartement-paris-16e-r434201291,16,ParisOuest,47.476190476190474
154,340,1060,1,20,https://www.pap.fr/annonces/appartement-paris-16e-75116-r432201309,16,ParisOuest,53.0
155,341,1000,1,22,https://www.pap.fr/annonces/appartement-paris-16e-r406201187,16,ParisOuest,45.45454545454545
156,342,485,1,10,https://www.pap.fr/annonces/appartement-paris-16e-r417100385,16,ParisOuest,48.5
157,343,945,1,27,https://www.pap.fr/annonces/appartement-paris-16e-r429900021,16,ParisOuest,35.0
158,344,1150,1,20,https://www.pap.fr/annonces/appartement-paris-16e-r418100514,16,ParisOuest,57.5
159,355,1250,1,31,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434401046,17,ParisNord,40.32258064516129
160,356,600,1,10,https://www.pap.fr/annonces/appartement-paris-17e-r423300227,17,ParisNord,60.0
161,357,1150,1,25,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434301279,17,ParisNord,46.0
162,358,1045,2,24,https://www.pap.fr/annonces/appartement-paris-17e-r431202491,17,ParisNord,43.541666666666664
163,359,1050,1,33,https://www.pap.fr/annonces/appartement-paris-17e-r423000652,17,ParisNord,31.818181818181817
164,360,750,1,20,https://www.pap.fr/annonces/appartement-paris-17e-r406502821,17,ParisNord,37.5
165,361,599,1,11,https://www.pap.fr/annonces/appartement-paris-17e-r411601735,17,ParisNord,54.45454545454545
166,362,980,1,25,https://www.pap.fr/annonces/appartement-paris-17e-r421901108,17,ParisNord,39.2
167,363,1190,1,30,https://www.pap.fr/annonces/appartement-paris-17e-75017-r433700890,17,ParisNord,39.666666666666664
168,364,495,1,12,https://www.pap.fr/annonces/appartement-paris-17e-r427300482,17,ParisNord,41.25
169,365,599,1,10,https://www.pap.fr/annonces/appartement-paris-17e-r422400240,17,ParisNord,59.9
170,366,725,1,16,https://www.pap.fr/annonces/appartement-paris-17e-r405302024,17,ParisNord,45.3125
171,367,1180,1,25,https://www.pap.fr/annonces/appartement-paris-17e-r412100584,17,ParisNord,47.2
172,368,1200,1,27,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434300568,17,ParisNord,44.44444444444444
173,369,860,1,17,https://www.pap.fr/annonces/appartement-paris-17e-r402800918,17,ParisNord,50.588235294117645
174,370,950,1,24,https://www.pap.fr/annonces/appartement-paris-17e-r406900482,17,ParisNord,39.583333333333336
175,371,700,1,17,https://www.pap.fr/annonces/appartement-paris-17e-r422001102,17,ParisNord,41.1764705882353
176,372,680,1,10,https://www.pap.fr/annonces/appartement-paris-17e-r406800444,17,ParisNord,68.0
177,373,1200,2,37,https://www.pap.fr/annonces/appartement-paris-17e-r175204384,17,ParisNord,32.432432432432435
178,374,1200,2,44,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434102173,17,ParisNord,27.272727272727273
179,375,1100,2,29,https://www.pap.fr/annonces/appartement-paris-17e-r427100708,17,ParisNord,37.93103448275862
180,376,850,1,20,https://www.pap.fr/annonces/appartement-paris-17e-r191610610,17,ParisNord,42.5
181,377,950,2,25,https://www.pap.fr/annonces/appartement-paris-17e-r434401086,17,ParisNord,38.0
182,378,890,1,20,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434401942,17,ParisNord,44.5
183,379,1100,2,27,https://www.pap.fr/annonces/appartement-paris-17e-r404701583,17,ParisNord,40.74074074074074
184,380,750,1,10,https://www.pap.fr/annonces/appartement-paris-17e-75017-r433200236,17,ParisNord,75.0
185,381,720,1,15,https://www.pap.fr/annonces/appartement-paris-17e-r417100666,17,ParisNord,48.0
186,382,650,1,13,https://www.pap.fr/annonces/appartement-paris-17e-r194304031,17,ParisNord,50.0
187,383,750,1,16,https://www.pap.fr/annonces/appartement-paris-17e-75017-r433800017,17,ParisNord,46.875
188,384,400,1,10,https://www.pap.fr/annonces/appartement-paris-17e-r412801570,17,ParisNord,40.0
189,385,947,1,33,https://www.pap.fr/annonces/appartement-paris-17e-r418500850,17,ParisNord,28.696969696969695
190,386,400,1,9,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434401627,17,ParisNord,44.44444444444444
191,387,650,1,10,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434500290,17,ParisNord,65.0
192,388,1170,2,32,https://www.pap.fr/annonces/appartement-paris-17e-r408101888,17,ParisNord,36.5625
193,389,1120,2,30,https://www.pap.fr/annonces/appartement-paris-17e-r422500524,17,ParisNord,37.333333333333336
194,390,650,1,9,https://www.pap.fr/annonces/appartement-paris-17e-r427400120,17,ParisNord,72.22222222222223
195,391,475,1,9,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434401545,17,ParisNord,52.77777777777778
196,392,900,1,15,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434101047,17,ParisNord,60.0
197,393,990,1,29,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434402149,17,ParisNord,34.13793103448276
198,394,774,1,19,https://www.pap.fr/annonces/appartement-paris-17e-r420800186,17,ParisNord,40.73684210526316
199,395,895,2,28,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434401000,17,ParisNord,31.964285714285715
200,396,610,1,11,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434401006,17,ParisNord,55.45454545454545
201,397,649,1,16,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434401114,17,ParisNord,40.5625
202,398,640,1,14,https://www.pap.fr/annonces/appartement-paris-17e-r414401081,17,ParisNord,45.714285714285715
203,399,872,1,18,https://www.pap.fr/annonces/appartement-paris-17e-r419601056,17,ParisNord,48.44444444444444
204,400,845,1,20,https://www.pap.fr/annonces/appartement-paris-17e-r426002256,17,ParisNord,42.25
205,401,450,1,12,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434400741,17,ParisNord,37.5
206,402,950,1,23,https://www.pap.fr/annonces/appartement-paris-17e-75017-r434400362,17,ParisNord,41.30434782608695
207,403,975,1,35,https://www.pap.fr/annonces/appartement-paris-18e-r408300086,18,ParisNord,27.857142857142858
208,404,750,2,21,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434500316,18,ParisNord,35.714285714285715
209,405,695,1,15,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434500359,18,ParisNord,46.333333333333336
210,406,1025,1,28,https://www.pap.fr/annonces/appartement-paris-18e-r414300983,18,ParisNord,36.607142857142854
211,407,700,1,14,https://www.pap.fr/annonces/appartement-paris-18e-r430401161,18,ParisNord,50.0
212,408,1050,1,20,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434400654,18,ParisNord,52.5
213,409,980,1,27,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434401784,18,ParisNord,36.2962962962963
214,410,770,1,23,https://www.pap.fr/annonces/appartement-paris-18e-r434100924,18,ParisNord,33.47826086956522
215,411,755,1,23,https://www.pap.fr/annonces/appartement-paris-18e-r434300648,18,ParisNord,32.82608695652174
216,412,795,1,19,https://www.pap.fr/annonces/appartement-paris-18e-r434402019,18,ParisNord,41.8421052631579
217,413,890,2,20,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434002312,18,ParisNord,44.5
218,414,999,1,20,https://www.pap.fr/annonces/appartement-paris-18e-r418301388,18,ParisNord,49.95
