,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
66,825,1,19.24,"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/164314791.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,42.879417879417886
67,990,1,23.0,"https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/sainte-avoie/163198395.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,43.04347826086956
68,940,1,17.0,"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/163800079.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,55.294117647058826
69,1200,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/archives/163861447.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,40.0
70,1128,2,27.07,"https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/saint-placide/164157497.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,41.6697451052826
71,1150,1,21.0,"https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/arts-et-metiers/164186427.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,54.76190476190476
72,970,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-5eme-75/jardin-des-plantes/164269061.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,38.8
73,1110,2,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/enfants-rouges/164276041.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,37.0
74,1040,2,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-5eme-75/saint-victor/164276325.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,34.666666666666664
75,1100,1,21.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-gervais/164356505.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,52.38095238095238
76,1200,1,29.0,"https://www.seloger.com/annonces/locations/appartement/paris-5eme-75/jardin-des-plantes/159552395.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,41.37931034482759
77,850,1,15.0,"https://www.seloger.com/annonces/locations/appartement/paris-2eme-75/sentier-bonne-nouvelle/160551167.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,56.666666666666664
78,900,1,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-2eme-75/montorgueil-saint-denis/163309285.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,50.0
79,890,1,16.22,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/arsenal/163370497.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,54.87053020961776
